Designator,Mid X,Mid Y,Rotation,Layer
C1,272.0782,-161.2628,270.0,bottom
C10,194.3372,-272.0782,0.0,bottom
C11,239.260735,-251.178717,330.0,bottom
C12,267.715917,-210.617465,300.0,bottom
C13,278.5298,-160.02,90.0,bottom
C14,256.144566,-112.037167,60.0,bottom
C15,212.766968,-81.675433,30.0,bottom
C16,160.02,-77.070199,0.0,bottom
C17,112.037167,-99.455433,330.0,bottom
C18,81.675433,-142.833031,300.0,bottom
C19,77.070199,-195.58,270.0,bottom
C2,251.178717,-116.339264,240.0,bottom
C20,99.455433,-243.562832,240.0,bottom
C21,142.833031,-273.924566,210.0,bottom
C22,195.579999,-278.5298,180.0,bottom
C23,243.562832,-256.144566,150.0,bottom
C24,273.924566,-212.766968,120.0,bottom
C3,210.617465,-87.884082,210.0,bottom
C4,161.2628,-83.521799,180.0,bottom
C5,116.339264,-104.421282,150.0,bottom
C6,87.884082,-144.982534,120.0,bottom
C7,83.521799,-194.3372,90.0,bottom
C8,104.421282,-239.260735,60.0,bottom
C9,144.982534,-267.715917,30.0,bottom
J4,95.44,-75.37,180.0,bottom
P1,266.474028,-177.8,90.0,bottom
P10,177.799999,-266.474028,180.0,bottom
P11,222.137014,-254.593961,150.0,bottom
P12,254.593961,-222.137014,120.0,bottom
P2,254.593961,-133.462985,60.0,bottom
P3,222.137014,-101.006038,30.0,bottom
P4,177.8,-89.125971,0.0,bottom
P5,133.462985,-101.006038,330.0,bottom
P6,101.006038,-133.462985,300.0,bottom
P7,89.125971,-177.8,270.0,bottom
P8,101.006038,-222.137014,240.0,bottom
P9,133.462985,-254.593961,210.0,bottom
