Designator,Mid X,Mid Y,Rotation,Layer
C1,284.6582,-161.2628,270.0,bottom
C10,194.3372,-284.6582,0.0,bottom
C11,245.550735,-262.073317,330.0,bottom
C12,278.610517,-216.907465,300.0,bottom
C13,284.681924,-152.359556,270.0,bottom
C14,257.64224,-102.326966,240.0,bottom
C15,209.20889,-72.517315,210.0,bottom
C16,152.359556,-70.918075,180.0,bottom
C17,102.326966,-97.957759,150.0,bottom
C18,72.517315,-146.391109,120.0,bottom
C19,70.918075,-203.240444,90.0,bottom
C2,262.073317,-110.049264,240.0,bottom
C20,97.957759,-253.273033,60.0,bottom
C21,146.391109,-283.082684,30.0,bottom
C22,203.240443,-284.681924,0.0,bottom
C23,253.273033,-257.64224,330.0,bottom
C24,283.082684,-209.20889,300.0,bottom
C3,216.907465,-76.989482,210.0,bottom
C4,161.2628,-70.941799,180.0,bottom
C5,110.049264,-93.526682,150.0,bottom
C6,76.989482,-138.692534,120.0,bottom
C7,70.941799,-194.3372,90.0,bottom
C8,93.526682,-245.550735,60.0,bottom
C9,138.692534,-278.610517,30.0,bottom
J4,95.0,-75.64,180.0,bottom
P1,279.054028,-177.8,0.0,bottom
P10,177.799999,-279.054028,90.0,bottom
P11,228.4270143207127,-265.488561,60.0,bottom
P12,265.488561,-228.4270136792873,30.0,bottom
P2,265.488561,-127.17298467928731,330.0,bottom
P3,228.4270136792873,-90.111438,300.0,bottom
P4,177.8,-76.545971,270.0,bottom
P5,127.17298467928731,-90.111438,240.0,bottom
P6,90.111438,-127.17298532071268,210.0,bottom
P7,76.545971,-177.8,180.0,bottom
P8,90.111438,-228.4270143207127,150.0,bottom
P9,127.17298532071268,-265.488561,120.0,bottom
