Ref,PosX,PosY,Side,Rot
C1,251.079,-260.1102,top,180
C2,224.0194,-287.6296,top,0
C3,213.9462,-286.7152,top,180
C4,267.2842,-246.096,top,-90
C5,268.1732,-236.1458,top,90
C6,203.957,-288.1206,top,0
C7,193.9474,-286.6982,top,180
C8,183.9748,-287.6202,top,0
C9,173.9444,-286.8074,top,180
C10,282.9356,-199.881,top,-90
C11,281.9196,-189.4658,top,90
C12,281.8024,-229.2613,top,-90
C13,280.6848,-218.6949,top,90
C14,71.8566,-253.2736,top,-90
C15,70.8914,-242.7568,top,90
C16,156.1754,-286.9692,top,0
C17,145.7054,-287.8836,top,180
C18,128.3318,-286.898,top,0
C19,117.7882,-287.8124,top,180
C20,100.7034,-286.9508,top,0
C21,90.0582,-287.916,top,180
C22,100.7018,-268.3256,top,0
C23,90.2318,-269.24,top,180
C24,71.7804,-224.0052,top,-90
C25,69.85,-213.2844,top,90
C26,223.994,-286.5882,top,0
C27,268.351,-246.1214,top,-90
C28,203.985,-287.1046,top,0
C29,183.9748,-286.6042,top,0
C30,282.9356,-202.675,top,90
C31,286.5424,-202.675,top,90
C32,281.8024,-232.3321,top,90
C33,285.369,-232.3321,top,90
C34,71.8566,-256.4232,top,90
C35,75.4126,-256.418,top,90
C36,159.1648,-283.4234,top,180
C37,159.236,-286.9946,top,180
C38,131.1884,-286.9184,top,180
C39,131.1994,-283.3928,top,180
C40,103.6692,-286.9854,top,180
C41,103.6726,-283.4456,top,180
C42,103.4626,-268.3256,top,180
C43,103.389,-264.8712,top,180
C44,71.7804,-227.4824,top,90
C45,75.2856,-227.4824,top,90
C46,77.5004,-212.8064,top,-90
C47,271.6412,-168.8846,top,180
C48,271.6342,-176.3522,top,180
C49,271.6596,-181.6354,top,180
C50,271.7104,-187.0202,top,180
C51,254.6111,-123.1584,top,-150
C52,258.3389,-129.6291,top,-150
C53,261.0025,-134.1918,top,-150
C54,263.7389,-138.8297,top,-150
C55,216.9996,-92.0735,top,-120
C56,223.4633,-95.8133,top,-120
C57,228.0514,-98.4329,top,-120
C58,232.7401,-101.0813,top,-120
C59,168.8846,-83.9588,top,-90
C60,176.3522,-83.9658,top,-90
C61,181.6354,-83.9404,top,-90
C62,187.0202,-83.8896,top,-90
C63,123.1585,-100.9889,top,-60
C64,129.6291,-97.2611,top,-60
C65,134.1918,-94.5975,top,-60
C66,138.8297,-91.8611,top,-60
C67,92.0735,-138.6004,top,-30
C68,95.8133,-132.1367,top,-30
C69,98.4329,-127.5486,top,-30
C70,101.0813,-122.8599,top,-30
C71,83.9588,-186.7154,top,0
C72,83.9658,-179.2478,top,0
C73,83.9404,-173.9646,top,0
C74,83.8896,-168.5798,top,0
C75,100.9889,-232.4415,top,30
C76,97.2611,-225.9709,top,30
C77,94.5975,-221.4082,top,30
C78,91.8611,-216.7703,top,30
C79,138.6004,-263.5265,top,60
C80,132.1367,-259.7867,top,60
C81,127.5486,-257.1671,top,60
C82,122.8599,-254.5187,top,60
C83,186.7154,-271.6412,top,90
C84,179.2478,-271.6342,top,90
C85,173.9646,-271.6596,top,90
C86,168.5798,-271.7104,top,90
C87,232.4415,-254.6111,top,120
C88,225.9709,-258.3389,top,120
C89,221.4082,-261.0025,top,120
C90,216.7703,-263.7389,top,120
C91,263.5265,-216.9996,top,150
C92,259.7867,-223.4633,top,150
C93,257.1671,-228.0514,top,150
C94,254.5187,-232.7401,top,150
C95,272.86,-161.09,top,-90
C96,251.7694,-115.7987,top,-60
C97,210.8587,-87.1206,top,-30
C98,161.09,-82.74,top,0
C99,115.7987,-103.8306,top,30
C100,87.1206,-144.7413,top,60
C101,82.74,-194.51,top,90
C102,103.8306,-239.8013,top,120
C103,144.7413,-268.4794,top,150
C104,194.51,-272.86,top,180
C105,239.8013,-251.7694,top,-150
C106,268.4794,-210.8587,top,-120
J1,292.1,-92.202,top,-90
J2,288.701,-162.39,top,90
J3,288.701,-153.379,top,90
J4,95,-63.5028,top,0
P1,266.474,-177.8,top,-90
P2,254.594,-133.463,top,-60
P3,222.137,-101.006,top,-30
P4,177.8,-89.126,top,0
P5,133.463,-101.006,top,30
P6,101.006,-133.463,top,60
P7,89.126,-177.8,top,90
P8,101.006,-222.137,top,120
P9,133.463,-254.594,top,150
P10,177.8,-266.474,top,180
P11,222.137,-254.594,top,-150
P12,254.594,-222.137,top,-120
Q1,72.8885,-199.767,top,180
R1,73.9902,-202.6138,top,-90
R2,75.6412,-199.6908,top,-90
R3,237.7694,-284.1772,top,90
R4,259.334,-281.938,top,-90
R5,256.5654,-261.11,top,90
R6,242.189,-266.2916,top,90
R7,244.5512,-265.4534,top,90
R8,282.7782,-251.5342,top,90
R9,278.003,-253.2868,top,90
R10,275.6154,-254.1504,top,90
R11,273.2024,-255.0394,top,90
R12,270.8402,-255.903,top,90
R13,268.478,-256.7158,top,90
R14,266.065,-257.6048,top,90
R15,263.6774,-258.4806,top,90
R16,261.3152,-259.3574,top,90
R17,258.9276,-260.1956,top,90
R18,249.3518,-263.6754,top,90
R19,246.9896,-264.539,top,90
R20,239.8268,-273.05,top,-90
R21,237.49,-273.6576,top,-90
R22,235.0516,-274.5212,top,-90
R23,232.664,-275.2832,top,-90
R24,227.332,-274.066,top,180
R25,282.704,-267.843,top,180
R26,280.287,-268.732,top,180
R27,277.874,-269.748,top,180
R28,275.4864,-270.6116,top,180
R29,268.859,-278.513,top,-90
R30,266.4968,-279.275,top,-90
R31,254.5588,-283.6652,top,-90
R32,252.1712,-284.5288,top,-90
R33,249.8344,-285.3924,top,-90
R34,247.2944,-280.926,top,90
R35,244.729,-281.6098,top,90
R36,242.5446,-282.4246,top,90
R37,240.1316,-283.2374,top,90
R38,235.331,-285.0408,top,90
R39,213.9208,-287.7312,top,0
R40,213.9208,-285.6992,top,0
R41,213.9188,-284.6578,top,0
R42,213.9188,-283.6164,top,0
R43,213.9168,-282.575,top,0
R44,213.9148,-281.5336,top,0
R45,267.1318,-236.1438,top,-90
R46,269.1892,-236.1204,top,-90
R47,270.2306,-236.1224,top,-90
R48,271.272,-236.1184,top,-90
R49,272.3134,-236.1184,top,-90
R50,273.3548,-236.1184,top,-90
R51,193.9494,-287.7142,top,0
R52,193.9454,-285.6822,top,0
R53,193.9454,-284.6662,top,0
R54,193.9454,-283.6502,top,0
R55,193.9454,-282.5834,top,0
R56,193.9474,-281.5674,top,0
R57,173.9196,-287.8234,top,0
R58,173.9144,-285.7914,top,0
R59,173.9164,-284.7754,top,0
R60,173.9204,-283.7086,top,0
R61,173.9184,-282.6418,top,0
R62,173.9184,-281.575,top,0
R63,282.9356,-189.443,top,-90
R64,283.9516,-189.443,top,-90
R65,285.0184,-189.443,top,-90
R66,286.0344,-189.441,top,-90
R67,287.0504,-189.441,top,-90
R68,288.0664,-189.441,top,-90
R69,280.9036,-189.441,top,-90
R70,289.0824,-189.441,top,-90
R71,279.6688,-218.6949,top,-90
R72,281.7008,-218.6949,top,-90
R73,282.7168,-218.6949,top,-90
R74,283.7328,-218.6949,top,-90
R75,284.7488,-218.6929,top,-90
R76,285.7648,-218.6969,top,-90
R77,286.7808,-218.6969,top,-90
R78,287.7968,-218.6969,top,-90
R79,69.8754,-242.734,top,-90
R80,71.9074,-242.736,top,-90
R81,72.9234,-242.736,top,-90
R82,73.9394,-242.736,top,-90
R83,74.9554,-242.736,top,-90
R84,75.9714,-242.736,top,-90
R85,76.9874,-242.736,top,-90
R86,78.0034,-242.732,top,-90
R87,145.6806,-288.8996,top,0
R88,145.6806,-286.8676,top,0
R89,145.6806,-285.8516,top,0
R90,145.6826,-284.8356,top,0
R91,145.6806,-283.8196,top,0
R92,145.6806,-282.8036,top,0
R93,145.6806,-281.7876,top,0
R94,145.6806,-280.7716,top,0
